SiO2(wt%),TiO2(wt%),Al2O3(wt%),FeOT(wt%),CaO(wt%),MgO(wt%),MnO(wt%),P2O5(wt%),Na2O+K2O,Na2O+K2O/SiO2
44.87,3,13.55,10.31,11.8,7.73,0.16,0.73,6.7,0.1493202585
41.76,2.41,14.27,8.92,12.45,8.36,0.18,0.43,5.84,0.1398467433
44.8,1.49,12.9,8.58,11.7,10.5,0.16,1.09,5.88,0.13125
41.44,2.5,12.78,12.53,12.49,8.06,0.22,1.78,6.29,0.1517857143
45.5,1.42,18.14,6.89,7.1,3.06,0.21,1.25,8.73,0.1918681319
45.94,2.29,17.11,11.81,9.13,4.9,0.19,0.62,6.07,0.1321288637
46.98,4.09,16.83,11.01,9.72,3.99,0.19,0.77,6.38,0.1358024691
44.51,2.4,14.17,10.87,11.02,6.66,0.21,0.89,8.07,0.1813075713
44.64,3.18,16.82,9.45,10.29,5,0.19,0.95,7.83,0.1754032258
45.41,1.87,15.06,12.62,4.68,2.44,0.22,1.4,8.78,0.1933494825
42.51,3.69,15.15,11.03,12.03,6.57,0.2,0.98,6.05,0.1423194542
47.3,2.14,15.41,9.78,10.21,5.8,0.18,0.66,7.44,0.1572938689
46.07,0.9,10.58,6.54,7.86,12.11,0.12,0.51,7.333,0.159170827
43.9,1.9,12.9,11.43,10.2,5.7,0.2,1.4,6.9,0.1571753986
42.34,5.33,13.04,11.67,12.23,7.15,0.19,0.84,6.68,0.1577704299
42.35,1.65,15.58,8.94,11.44,4.31,0.23,1.22,6.87,0.1622195986
45.4,4.17,12.47,12.15,8.8,6.3,0.2,0.76,7.12,0.1568281938
46.19,2.35,17.36,11.9,9.03,4.9,0.2,0.65,6.33,0.1370426499
44.25,3.51,16.16,13.39,7.59,5.64,0.18,0.726,6.17,0.1394350282
46.68,1.674,12.46,6.97,11.34,8.02,0.111,1.72,7.5,0.1606683805
47.6,0.8,14.6,9.54,10.35,5.8,0.18,0.57,6.71,0.1409663866
46.73,2.67,16.74,9.51,8.7,5.01,0.19,0.59,6.53,0.1397389257
44.12,1.39,13.93,8.94,12.32,8.76,0.15,1.12,8.26,0.1872166818
47.05,2.13,14.68,9.92,10.23,6.38,0.19,0.73,7.59,0.1613177471
47.445,0.891,10.871,6.41,9.339,10.118,0.112,0.616,6.894,0.1453050901
44.21,3.775,15.587,12.29,11.235,6.2,0.21,0.822,5.434,0.122913368
44.04,2.995,15.5,8.87,9.996,2.905,0.2785,0.7982,7.936,0.1801998183
43.69,3.48,15.48,11.09,10.11,4.62,0.22,1.14,6.72,0.1538109407
46.39,2.76,15.45,10.03,9.76,5.89,0.22,0.56,7.82,0.1685708127
43.72,2.67,12.66,11.37,3.96,2.67,0.15,1.44,6.66,0.1523330284
43.03,1.63,12.95,12.27,12.15,4.45,0.24,1.34,6.01,0.1396699977
45.8,2.64,16.8,9.9,10.6,6,0.28,0.83,5.97,0.130349345
43.77,3.43,17.77,10.87,6.05,3.41,0.19,1.38,6.15,0.1405071967
43.13,3.24,15.27,10.91,10.44,7.54,0.2,0.97,5.48,0.1270577324
43.69,1.93,13.27,9.85,9.27,13.45,0.17,0.78,5.6,0.1281757839
47.75,1.16,13.23,9.05,11.08,8.07,0.13,0.77,7.75,0.1623036649
47.59,2.51,17.68,11.37,7.64,2.93,0.24,0.89,7.87,0.1653708762
43.65,3.52,16.68,11.35,9.88,3.94,0.19,1.29,5.8,0.1328751432
44.94,3.07,12.47,10.55,7.53,10.99,0.14,1.25,8.11,0.1804628393
47.9,0.84,14.85,9.63,8.9,5.36,0.18,0.57,7.48,0.1561586639
